연번,시군,시설종류,시설명,소재지,연락처,정원,현원
273,경산시,노인요양시설,대자연요양원,경산시 압량면 감못둑길 55,053-216-7700,96,51
274,경산시,노인요양시설,광대실효요양원,경산시 남매로 55(삼남동),053-817-1188,29,15
275,경산시,노인요양시설,선한이웃요양원,경산시 원효로28길 53-1(계양동),053-813-1300,23,13
276,경산시,노인요양시설,양지실버홈,"경산시 경산로 174(옥산동) A동, 4-5층",053-817-0005,48,44
277,경산시,노인요양시설,자인요양원,경산시 자인면 자인로 122-9,053-851-7553,23,23
278,경산시,노인요양시설,봄요양원,경산시 백천길 81(백천동),053-382-9988,80,45
279,경산시,노인요양시설,동행요양원,경산시 자인면 북사로 7,053-851-6900,18,9
280,경산시,노인요양시설,경산동산요양원,경산시 진량읍 황제1길 86-3,053-852-1588,29,1
281,경산시,노인요양공동생활가정,갈릴리노인요양공동생활가정,경산시 진량읍 봉황길 70-11,053-856-9191,9,7
282,경산시,노인요양공동생활가정,엘림노인요양공동생활가정,경산시 원효로 371-9(평산동),053-801-0607,9,6
283,경산시,노인요양공동생활가정,남천노인요양공동생활가정,경산시 남천면 문화마을 2길 17,070-8849-3994,9,9
284,경산시,노인요양공동생활가정,하늘손노인요양공동생활가정,경산시 자인면 삼정길22-5,070-8229-5993,7,7
285,경산시,노인요양공동생활가정,베데스다노인요양공동생활가정,경산시 하양읍 환상2길 5-1,053-852-4469,9,9
286,경산시,노인요양공동생활가정,우리집노인요양공동생활가정,경산시 와촌면 불굴사길 62,053-857-7599,9,9
287,경산시,노인요양공동생활가정,사랑노인요양공동생활가정,경산시 경안로 27길 12-4(삼북동),053-814-5302,9,8
288,경산시,노인요양공동생활가정,백천노인요양공동생활가정,경산시 샘골길 33(백천동),053-816-1078,9,9
289,경산시,노인요양공동생활가정,남천노인요양공동생활가정2,경산시 남천면 문화마을 2길 16-8,070-8822-3994,9,9
290,경산시,노인요양공동생활가정,삼성요양센터노인요양공동생활가정,경산시 옥실길 91-5(옥곡동),053-812-6767,9,9
291,경산시,노인요양공동생활가정,대경노인요양공동생활가정,경산시 용성면 원효로 1373-6,053-856-8585,9,7
292,경산시,노인요양공동생활가정,에덴노인요양공동생활가정,경산시 들뫼길 118 (점촌동),053-814-0536,9,9
293,경산시,노인요양공동생활가정,자인삼성요양센터노인요양공동생활가정,경산시 자인면 자인시장길 12,053-857-2343,9,9
294,경산시,노인요양공동생활가정,경산실버요양의집공동생활가정,경산시 자인면 남촌1길 12-4 ,053-856-3996,9,9
295,경산시,노인요양공동생활가정,동산노인요양공동생활가정,경산시 들뫼길 118 (점촌동),053-818-0536,9,9
296,경산시,노인요양공동생활가정,옥곡실버타운노인요양공동생활가정,경산시 옥실길24길 13(옥곡동),053-815-8845,9,9
297,경산시,노인요양공동생활가정,옥곡실버타운2노인요양공동생활가정,"경산시 옥실길24길 13, 2층(옥곡동)",070-4906-8830,9,9
298,경산시,노인요양공동생활가정,삼성어르신요양센터노인요양공동생활가정,"경산시 서상길 11,(삼남동)",053-802-6767,9,9
299,경산시,노인요양공동생활가정,사랑채노인요양공동생활가정,경산시 자인면 울옥1길 1,053-851-9320,9,8
300,경산시,노인요양공동생활가정,정평실버복지센터노인요양공동생활가정,경산시 대학로10길 9-1,053-801-8500,9,9
301,경산시,노인요양공동생활가정,효드림노인요양공동생활가정,"경산시 경안로 202, 7층 (중방동)",053-813-9669,9,9
302,군위군,노인요양시설,SMS그린힐군위요양원,군위군군위읍 대북길 131,054-382-1288,68,55
303,군위군,노인요양시설,백송한마음요양원,군위군 부계면 한티로2246,054-383-0355,60,58
304,군위군,노인요양공동생활가정,밀알노인요양공동생활가정,군위군 소보면 도군로1832,054-382-4123,9,9
305,군위군,노인요양공동생활가정,참샘노인요양공동생활가정,군위군 군위읍 대로3190-16,054-382-9467,9,7
306,의성군,노인요양시설,고운사요양원,의성군 단촌면 고운사길 331,054-833-1254,28,27
307,의성군,노인요양시설,금성카리타스요양원,의성군 금성면 동부로 2404,054-832-6400,36,36
308,의성군,노인요양시설,기쁨의집,의성군 의성읍 북원3길 51-13,054-834-2337,45,26
309,의성군,노인요양시설,도리원,의성군 봉양면 도리원2길 39,054-833-2236,22,15
310,의성군,노인요양시설,봉양햇빛마을,의성군 봉양면 봉기길 54-9,054-834-8341,57,38
311,의성군,노인요양시설,산동복지타운,의성군 금성면 금성산길 100,054-834-5762,62,28
312,의성군,노인요양시설,성심요양원,의성군 금성면 탑리길 8-2,054-832-8278,25,24
313,의성군,노인요양시설,안사공동체,의성군 안사면 안사3길 5,054-862-1421,48,43
314,의성군,노인요양시설,의성시온요양원,의성군 안평면 신안길 37,054-832-6886,29,24
315,의성군,노인요양시설,제남호스텔,의성군 봉양면 도리원2길 37,054-833-2236,50,18
316,의성군,노인요양시설,참사랑효마을요양원,의성군 안계면 용기4길 43,054-861-8830,39,37
317,의성군,노인요양시설,평안의집,의성군 안계면 서부로 1788,054-862-3375,25,25
318,의성군,노인요양시설,사랑의집,의성군 봉양면 덕은길 65-16,054-833-2346,21,21
319,의성군,노인요양시설,천사요양원,의성군 다인면 서부로 2739-3,054-861-5004,29,26
320,의성군,노인요양시설,의성e행복한요양원,의성군 의성읍 안평의성로 1122-40,054-834-1500,50,47
321,의성군,노인요양시설,의성동주요양원,의성군 의성읍 안평의성로 1122-38,054-834-1801,23,16
322,의성군,노인요양공동생활가정,나눔의집,의성군 안계면 토매3길 176-1,054-862-5806,7,7
323,의성군,노인요양공동생활가정,낙자원,의성군 봉양면 도리원3길 25-1,054-832-9039,8,6
324,의성군,노인요양공동생활가정,산동공동생활가정,의성군 금성면 금성산길 100,054-834-5762,7,0
325,청송군,노인요양시설,경북작은자의집,청송군 현동면 개일월매길351,054-873-0771,89,86
326,청송군,노인요양시설,아름다운실버타운,청송군 청송읍 길안청송로1692-29,054-873-5510,66,58
327,청송군,노인요양시설,청송보현요양원,청송군 안덕면 안현로 654,054-872-8661,70,65
328,청송군,노인요양시설,청송국민노인요양원,청송군 청송읍 논시골로 179,054-874-7100,28,29
329,청송군,노인요양시설,태양의집,청송군 청송읍 주왕산로 7-286,054-873-3508,60,41
330,영양군,노인요양시설,영양군립요양원,영양군 영양읍 영양창수로 644,054-682-6777,80,72
331,영양군,노인요양시설,영양사랑노인전문요양원,영양군 영양읍 중앙로 282-14,054-683-0700,75,69
332,영양군,노인요양시설,고은노인요양원,영양군 입암로 148,054-682-0900,15,15
333,영양군,노인요양공동생활가정,기로원,영양군 영양읍 상원로 121-25,054-682-9060,9,9
334,영양군,노인요양시설,벧엘노인요양원,영양군 영양읍 팔수로 345,054-682-0191,13,13
335,영덕군,노인요양시설,영덕행복마을,영덕군 영덕읍 화천길 6,054-732-0584,83,76
336,영덕군,노인요양시설,영덕희망마을,영덕군 영해면 영덕로 1686-39,054-726-2601,21,20
337,영덕군,노인요양시설,샛별노인복지센터,영덕군 영해면 원당1길 32,054-733-9636,146,64
338,영덕군,노인요양시설,해맞이실버타운,영덕군 영덕읍 매정길 88,054-734-0153,27,23
339,영덕군,노인요양공동생활가정,다사랑복지타운,영덕군 강구면 나비산길 38,054-734-7002,9,9
340,청도군,노인요양시설,효사랑실버센터,청도군 화양읍 청화로 79-15,054-373-7575,98,85
341,청도군,노인요양시설,효사랑시니어센터,청도군 풍각면 봉기로 21-28,054-373-7574,94,72
342,청도군,노인요양시설,다솜노인요양원,청도군 청도읍 고수산복길 115,054-373-9004,29,23
343,청도군,노인요양시설,산동요양원,청도군 금천면 금천로 4,054-373-7992,60,35
344,청도군,노인요양시설,아람전문요양원,청도군 화양읍 도주관로 94-34,054-372-3710,29,22
345,청도군,노인요양시설,한마음노인요양원,청도군 화양읍 청려로 1854-7,054-371-0255,20,18
346,청도군,노인요양시설,한길요양원,청도군 운문면 방지7길 49-3,054-372-8890,29,23
347,청도군,노인요양공동생활가정,반시노인요양공동생활가정,청도군 청도읍 고수산복길 113,054-371-7901,9,9
348,청도군,노인요양공동생활가정,123장수나라,청도군 각북면 지슬길 110-15,054-373-7123,9,8
349,청도군,노인요양공동생활가정,건강나라노인요양공동생활가정,청도군 각북면 지슬길 110-15,054-373-7121,9,9
350,청도군,노인요양공동생활가정,느티나무복지센터A동,청도군 풍각면 봉기로 21-24,054-371-1155,9,5
351,청도군,노인요양공동생활가정,느티나무복지센터B동,청도군 풍각면 봉기로 21-24,054-371-1154,9,6
352,청도군,노인요양공동생활가정,다람노인요양공동생활가정,청도군 청도읍 앞산공원길 105,054-373-6675,9,6
353,청도군,노인요양공동생활가정,소망의집,청도군 풍각면 흑석1길 29-4,054-370-1074,6,1
354,청도군,노인요양공동생활가정,은혜노인요양공동생활가정,청도군 화양읍 눌미2길 7-4,054-371-4425,9,8
355,고령군,노인요양시설,고령영생요양원,고령군 대가야읍 대가야로 1342,054-954-9988,60,58
356,고령군,노인요양시설,동산실버요양원,고령군 다산중앙길 128-6,054-956-5700,29,10
357,고령군,노인요양시설,대진덕곡요양원,고령군 덕곡면 덕운로 1038-8,054-956-5900,28,25
358,고령군,노인요양시설,대창요양원,고령군 쌍림면 매촌1길 174,054-954-9700,49,26
359,고령군,노인요양시설,대가야요양원,고령군 운수면 운용로 627,054-956-5788,70,17
360,고령군,노인요양시설,고령요양원,고령군대가야읍 지산길7-11,054-954-8833,28,26
361,고령군,노인요양공동생활가정,다빛노인복지센터,고령군 다산면 평리1길 29-8,054-956-1145,9,9
362,성주군,노인요양시설,실로암노인전문요양원,성주군 수륜면 성주가야산로616,054-932-3539,68,33
363,성주군,노인요양시설,가야실버빌,성주군 금수면 성주로1966,054-933-9341,29,27
364,성주군,노인요양시설,한우리요양원,성주군 성주읍 성주순환로 1길 35,054-933-3466,13,6
365,성주군,노인요양시설,경상북도 노인전문간호센터,성주군 가천로 33,054-931-7230,90,72
366,성주군,노인요양시설,성주유진요양타운,성주군 대가면 칠봉1길 81-33,054-932-0990,9,9
367,성주군,노인요양시설,복지마을요양원,성주군 선남면 관용로 401-35,054-933-8089,38,24
368,성주군,노인요양시설,우주봉의집,성주군 선남면 관용로 401-141,054-933-8051,43,23
369,성주군,노인요양시설,가나안노인전문요양원,성주군 성주읍 심산로 95-7,054-933-6877,25,25
370,칠곡군,노인요양시설,장미노인요양원,칠곡군 왜관읍 금남3길 99,054-977-0900,60,49
371,칠곡군,노인요양시설,홍익재활실버힐,칠곡군 북삼읍 북삼로2길 56,054-976-4141,42,42
372,칠곡군,노인요양시설,성가요양원,칠곡군 동명면 한티로 140,054-976-8122,93,89
373,칠곡군,노인요양시설,한울요양원,칠곡군 북삼읍 북삼로11길54,054-974-8840,42,31
374,칠곡군,노인요양시설,행복한마을,칠곡군 기산면 한솔1길 56,054-977-2882,80,37
375,칠곡군,노인요양시설,효성실버요양원,칠곡군 북삼읍 칠곡대로 78,054-972-5550,36,37
376,칠곡군,노인요양시설,송림요양원,칠곡군 동명면 기성3길13,054-974-9020,29,25
377,칠곡군,노인요양시설,성가어르신복지센터,칠곡군 동명면 금암북실 1길 8-11,054-976-8123,28,28
378,칠곡군,노인요양시설,연꽃피는집,칠곡군 가산면 용매로 644-7,054-971-6063,78,42
379,칠곡군,노인요양시설,해바라기요양원,칠곡군 동명면 남원로 482,054-974-8003,43,40
380,칠곡군,노인요양시설,섬김노인복지센터,칠곡군 왜관읍 구상길 124,054-972-9905,28,28
381,칠곡군,노인요양시설,바오로둥지너싱홈,칠곡군 동명면 대로842,054-972-5901,49,48
382,칠곡군,노인요양시설,온정너싱홈,칠곡군 동명면 기성8길35,054-973-9989,15,16
383,칠곡군,노인요양시설,예지노인복지센터,칠곡군 왜관읍 달오2길 90,054-972-7800,15,15
384,칠곡군,노인요양시설,금오노인요양원,칠곡군 북삼읍 금곡길 91-23,054-975-1881,18,7
385,칠곡군,노인요양공동생활가정,어울림노인요양센터,칠곡군 동명면 백송로 755-2 ,054-977-9433,7,7
386,칠곡군,노인요양공동생활가정,성화노인복지센터,칠곡군 석적읍 중지1길 43-2,054-971-2300,9,7
387,칠곡군,노인요양공동생활가정,친절간호사의집 노인복지센터,칠곡군 왜관읍 봉계로 172-15,054-974-1235,9,9
388,칠곡군,노인요양공동생활가정,모자노인복지센터,칠곡군 약목면 복성4길 9,054-975-2575,6,5
389,칠곡군,노인요양공동생활가정,新효구미노인복지센터,칠곡군 북삼읍 북삼로101,054-972-2128,9,2
390,칠곡군,노인요양공동생활가정,가산실버홈,칠곡군 가산면 인동가산로 885-15,054-971-6787,9,8
391,칠곡군,노인요양공동생활가정,송녹골요양홈,칠곡군 약목면 남계10길 45,054-972-6867,9,6
392,칠곡군,노인요양공동생활가정,송녹골요양홈2관,칠곡군 약목면 남계10길 45,054-972-6866,9,8
393,칠곡군,노인요양공동생활가정,푸른실버홈,칠곡군 지천면 상지1길 66-19,054-977-6663,9,9
394,칠곡군,노인요양공동생활가정,온맘노인전문요양원,칠곡군 왜관읍 석전로6길 11,054-971-6044,9,8
395,예천군,노인요양시설 ,예천연꽃마을,예천군 풍양면 낙상1길 58-46,054-653-7714,80,39
396,예천군,노인요양시설 ,예천노인전문요양원,예천군 유천면 고산길 128,054-652-2435,98,92
397,예천군,노인요양시설 ,예천실버요양원,예천군 개포면 송담길 27-2 ,054-652-8275,60,61
398,예천군,노인요양시설 ,보람요양원,예천군 풍양면 삼강로 878-41,054-655-0017,29,29
399,예천군 ,노인요양시설 ,효노인전문요양원,예천군 풍양면 신흥길122-13,054-652-1134,29,29
400,예천군 ,노인요양공동생활가정,경진노인요양원,예천군 개포면 동소리길 8,054-654-1080,9,9
401,봉화군,노인요양시설,봉화요양원,봉화군 법전면 갈방길 33-15,054-673-4654,60,60
402,봉화군,노인요양시설,봉화유리요양원,봉화군문수로60,054-674-3000,93,90
403,봉화군,노인요양시설,봉화노인복지센터,봉화군 봉화읍 솔안2길 23,054-674-3435,49,49
404,봉화군,노인요양시설,햇살찬요양원,봉화군 춘양면 한티로 226,054-672-5500,59,37
405,봉화군,노인요양시설,봉화효심요양원,봉화군 봉화읍 봉화로 1133,054-673-3939,90,78
406,봉화군,노인요양공동생활가정,사랑노인요양공동생활가정,봉화군 법전면 눌산길477-49,054-673-8910,9,9
407,울진군,노인요양시설,울진군노인요양원,울진군 매화면 망양정로 285-34,054-781-8855,88,83
408,울진군,노인요양시설,평해노인요양원,울진군 평해읍 백암온천로 2401,054-788-1001,76,47
409,울진군,노인요양시설,엘 요양원,울진군 울진읍 연지1길114,054-781-9880,49,45
410,울릉군,노인요양시설,송담실버타운,울릉군 울릉읍 서면 학포길 36,054-791-6127,24,24
